,项目名称,中标金额（元）,中标单位名称,招标人,监督部门,招标代理,时间
129,高塘岭街道新河幼儿园项目,9636579.44,湖南源亿建设工程有限公司,长沙市望城区重点建设项目事务中心,长沙市望城区建设工程招投标工作事务中心,/,时间：2020-03-02 09:58:26
130,中广天择总部基地二期2#酒店式办公、3#配套商业、4#孵化器办公、二期地下室,589891302.6,湖南建工集团有限公司,长沙视谷实业有限公司,长沙市建设工程招投标中心,/,时间：2020-03-02 09:58:22
131,宁乡高新区金洲大道以南及澳洲南路以西场地土方平整项目,6586363.46,京兴美建设工程有限公司,长沙金洲新城开发建设投资有限公司,宁乡高新技术产业园区政府采购与招投标管理办公室,/,时间：2020-03-02 09:57:22
132,浏阳河隧道（明挖段）、营盘路隧道、南湖路隧道渗漏水处治维修项目工程标段一,5192477.25,长沙新康建筑工程有限公司,：长沙市城市桥梁隧道事务中心,长沙市建设工程招标投标中心,/,时间：2020-03-02 09:55:22
133,长沙市星城新宇?东升家园建设项目设计施工总承包,567926351.9,湖南省沙坪建设有限公司/湖南省建筑设计院有限公司,长沙市雨花城市建设投资集团有限公司,长沙市雨花区住房和城乡建设局,/,时间：2020-03-02 09:51:22
134,华润湖南医药有限公司生产配送中心改扩建项目-消防改造工程,6941546.55,中国中安消防安全,华润湖南医药有限公司,长沙高新区招投标管理办公室,/,时间：2020-03-02 09:49:27
135,浏阳市荷花公寓及周边小区棚改配套基础设施项目（三期）,1901276.29,湖南尼塔建设发展股份有限公司,浏阳市荷花街道办事处,浏阳市发展和改革局,/,时间：2020-03-02 09:49:22
136,蔡锷中路两厢棚改项目（有机更新部分）（设计施工）总承包（一期）三标段,227600,湖南望新建设集团股份有限公司,长沙市芙蓉棚改投资有限责任公司,长沙市芙蓉区建设工程招投标管理办公室,/,时间：2020-03-02 09:47:25
137,浏阳市官渡镇芙蓉学校建设项目（复评）,27901964.16,湖南洪山建设集团有限公司,：浏阳市公共工程建设中心,浏阳市发展和改革局,/,时间：2020-03-02 09:42:29
138,宁乡高新区废水循环利用生产线项目三四期设备采购及相关服务,87285000,昆山三一环保科技有限公司, 宁乡金锂邦普环保科技有限公司,宁乡高新技术产业园区政府采购与招投标管理办公室,/,时间：2020-03-02 09:42:24
139,“北城?书香里”项目营销中心设计施工总承包,246026.55,承运建工集团有限公司,湖南北城兴业开发建设有限公司,长沙市开福区招投标管理办公室,/,时间：2020-03-02 09:41:22
140,宁乡市灰汤镇中心小学扩建项目设计施工总承包,24741905.83,湖南恒楚建设有限公司/湖南宝信云建筑综合服务平台股份有限公司,：宁乡市灰汤镇人民政府,宁乡市建设工程招标投标事务中心,/,时间：2020-03-02 09:31:24
141,洋湖人才公寓项目（一期）施工总承包工程,302639888.5,中国建筑第五工程局有限公司,长沙恒志房地产开发有限公司,湖南湘江新区管理委员会住建环保局,/,时间：2020-03-02 09:30:28
142,宁乡市人民医院健康管理中心建设项目,12450081.7,长沙广大建筑装饰有限公司,宁乡市人民医院,宁乡市建设工程招投标事务中心,/,时间：2020-03-02 09:29:26
143,刘少奇故居文物保护中心周边环境工程设计施工总承包,6616428.8,宏林建设工程集团有限公司/湖南省建筑设计院有限公司,/,/,/,时间：2020-03-02 09:29:22
144,洋湖湿地旅游配套服务项目街区装修工程,9257182.13,宏林建设工程集团有限公司,长沙先导洋湖湿地文化旅游有限公司,/,/,时间：2020-03-02 09:28:35
145,15号路（京港澳东辅道-新花侯路）道路工程施工项目,24017460.9,湖南省西湖建筑集团有限公司,长沙市武广新城开发建设有限责任公司,长沙市建设工程招投标中心,/,时间：2020-03-02 09:25:28
146,浏阳河隧道（明挖段）、营盘路隧道、南湖路隧道渗漏水处治维修项目工程标段二,4136615.86,湖南奉天建设集团有限公司,：长沙市城市桥梁隧道事务中心,长沙市建设工程招标投标中心,/,时间：2020-03-02 09:25:25
147,110KV树雨线（#005--#010）杆迁雅塘冲路配套土建工程,6250817.63,湖南华信安装工程有限公司,：长沙市公共工程建设中心,长沙市建设工程招标投标中心,/,时间：2020-02-20 10:23:23
148,广发银行大厦装修及配套工程装修项目,19654237.62,根据招标投标相关法律法规及招标文件的规定，广发银行大厦装修及配套工程装修项目于2020年2月18日在长沙公共资源交易中心开标、评标，本项目评标办法采用湘建监督[2018]116号文件规定的“综合评估法Ⅱ”。评标委员会推荐了以下3名中标候选人（不排序），现将相关信息予以公示。,广发银行股份有限公司长沙分行,长沙市岳麓区建设工程招投标管理办公室,/,时间：2020-02-20 10:20:23
149,浏阳市官渡镇芙蓉学校建设项目,27837073.39,湖南兴旺建设有限公司,：浏阳市公共工程建设中心,浏阳市发展和改革局,/,时间：2020-02-19 11:46:23
150,浏阳市第十中学新建学生宿舍及部分改造工程项目,16885404.51,湖南奉天建设集团有限公司,浏阳市公共工程建设中心,浏阳市发展和改革局,/,时间：2020-02-19 11:46:22
151,长沙市望城区香桥小学建设项目施工二标段,72521939.1,湖南源亿建设工程有限公司（牵头人）,长沙市望城区重点建设项目事务中心,长沙市望城区建设工程招投标工作事务中心,/,时间：2020-02-19 11:45:25
152,坪山村保障房项目一期与西片区保障房项目二期电梯设备采购及安装工程,15362000,湖南客尚电梯服务有限公司,长沙梅溪湖金晟置业有限公司,湖南湘江新区管理委员会住建环保局,/,时间：2020-02-19 11:44:23
153,长沙市望城区香桥小学建设项目施工一标段,66767116.05,湖南乔口建设有限公司（牵头人）,长沙市望城区重点建设项目事务中心,长沙市望城区建设工程招投标工作事务中心,/,时间：2020-02-19 11:43:22
154,跨境电商产业园配电工程,3863552.35,湖南湘力电力安装工程有限责任公司,长沙麓谷实业发展股份有限公司,长沙高新区招投标管理办公室,/,时间：2020-02-19 11:42:22
155,先锋路（大托路-韶山路）第三方工程质量检测（二标段）,500164,湖南省建设工程质量检测中心, 长沙市公共工程建设中心,长沙市建设工程招标投标中心,/,时间：2020-02-19 11:41:22
156,长沙师范学院附属经开区幼儿园室内装修工程(复评）,29635774.39,长沙广大建筑装饰有限公司,长沙经济技术开发区项目开发建设管理有限公司,长沙经济技术开发区政府采购与招投标办公室,/,时间：2020-02-19 11:40:22
157,长沙市望城区香桥小学建设项目施工二标段中标候选人更正公示,72521939.1,湖南源亿建设工程有限公司（牵头人）,长沙市望城区重点建设项目事务中心,长沙市望城区建设工程招投标工作事务中心,/,时间：2020-02-19 11:39:22
158,长沙市望城区香桥小学建设项目施工三标段,14025383.86,湖南教建集团有限公司,长沙市望城区重点建设项目事务中心,长沙市望城区建设工程招投标工作事务中心,/,时间：2020-02-19 11:36:23
159,16号路（平阳南路-17号路）道路工程施工项目,42418060.54,湖南梅溪湖建设有限公司,长沙市武广新城开发建设有限责任公司,长沙市建设工程招投标中心,/,时间：2020-02-19 11:36:22
160,宁乡市历经铺街道社区卫生服务中心综合楼工程,3535168.07,湖南兴旺建设有限公司,宁乡市历经铺街道办事处,宁乡市建设工程招投标事务中心,/,时间：2020-02-13 18:56:25
161,长沙理工大学金盆岭校区畅通工程（复评）,6888650.94,湖南咸嘉建设工程集团有限公司,/,长沙市建设工程招标投标中心,/,时间：2020-02-13 18:54:22
162,长沙市雨花市民之家建设项目建安工程施工,公示期2020年1月22日至2020年2月1日。,湖南省沙坪建设有限公司,长沙市雨花城市建设投资集团有限公司,长沙市雨花区城乡建设局,/,时间：2020-02-13 18:44:22
163,西文庙坪周边地块棚改项目配套改造工程四期（A地块）市政工程,36188255.74,湖南乔口建设有限公司,长沙市天心棚改投资有限责任公司,长沙市天心区住房和城乡建设局,/,时间：2020-02-13 18:43:22
164,湖南日报印务中心大楼改造工程（室内装修）项目设计施工总承包,14796871.86,北京挚诚华腾装饰工程有限公司(牵头人),华声在线股份有限公司,望城区建设工程招投标工作事务中心,/,时间：2020-02-13 18:41:22
165,长沙经开区蓝思科技黄花生产基地场地挡土墙工程（4号地块）,21359856.6,湖南黄花建设集团股份有限公司,长沙经济技术开发区项目开发建设管理有限公司,长沙经济技术开发区政府采购与招投标办公室,/,时间：2020-02-13 18:36:22
166,长沙市花桥污水处理厂改扩建工程（三期）设备安装工程,22745814.82,湖南星大建设集团有限公司,长沙市排水有限责任公司,长沙市建设工程招标投标中心,/,时间：2020-02-13 18:30:23
167,湖南湘江鲲鹏计算产业软硬件生产线建设项目设计采购施工总承包（EPC）,4.50%,中建五局第三建设有限公司（联合体牵头人）、,长沙崐越实业有限责任公司,长沙岳麓科技产业园管理委员会工程建设局,/,时间：2020-02-13 18:30:23
168,绿地麓湖郡项目L06-D21地块住宅区一期施工项目,"￥103,047.50",贵州建工集团有限公司,长沙绿地梅溪湖置业有限公司,湖南湘江新区管理委员会住建环保局,/,时间：2020-02-13 18:30:22
169,长沙师范学院附属经开区幼儿园室内装修工程,29571208.32,湖南六建装饰设计工程有限责任公司,长沙经济技术开发区项目开发建设管理有限公司,长沙经济技术开发区政府采购与招投标办公室,/,时间：2020-02-13 18:28:22
170,开福区潮宗街街区棚户区改造项目（一期）-潮宗街地块45处低层建筑修复修缮项目施工,公示期2020年1月21日至2020年1月31日。,湖南湘信建设工程有限公司,长沙市开福棚改投资有限责任公司,长沙市开福区招投标管理办公室,/,时间：2020-02-13 18:24:22
171,浏阳市中和镇公租房小区配套基础设施（二期）建设项目,2622531.34,湖南福临建设工程有限公司,/,浏阳市发展和改革局,/,时间：2020-02-13 17:32:22
172,纬十五路（合平路-东湖路）道路建设工程设计与施工总承包,20786253.83,牵头单位：宏林建设工程集团有限公司,隆平创业投资集团有限公司,隆平高科技园建设工程招投标管理办公室,/,时间：2020-02-13 17:22:23
173,湖南创意设计总部大厦工程设计采购施工总承包,485444851.5,湖南省建筑科学研究院有限责任公司（牵头人）,湖南建工同创置业有限公司,长沙市建设工程招标投标中心,/,时间：2020-02-13 17:17:24
174,宁乡市城南片区开发综合配套玉潭街道玉兴小学建设项目设计施工总承包,80323295.8,湖南众诚建设集团有限公司张家界规划建筑设计院有限公司,宁乡市城市建设投资集团有限公司,宁乡市建设工程招标投标事务中心,/,时间：2020-02-13 17:09:33
175,金井河沿河景观提质改造工程,3128416.22,湖南华侨建设开发集团有限公司,长沙县高桥镇人民政府,长沙县发展和改革局,/,时间：2020-02-13 17:00:27
176,宁乡市中心片区开发综合配套新康中学建设项目设计施工总承包,设计费,湖南东方红建设集团有限公司（联合体牵头人）、湖南红日建筑设计有限公司（联合体成员）,宁乡市城市建设投资集团有限公司,/,/,时间：2020-02-13 16:51:23
177,宁乡市玉潭街道新康小学建设项目设计施工总承包,总报价,湖南广厦园林建设有限公司（联合体牵头人）、广东建筑艺术设计院有限公司（联合体成员）,宁乡市城市建设投资集团有限公司,宁乡市建设工程招标投标事务中心,/,时间：2020-02-13 16:41:23
178,长沙经开区星沙水厂9万吨每天改扩建工程施工（第三次复评）,190523239.7,湖南望新建设集团股份有限公司,长沙经济技术开发区项目开发建设管理有限公司,长沙经济技术开发区政府采购与招投标办公室,/,时间：2020-02-13 16:22:22
179,湖南长沙数据机房土建工程及室外工程质量检测项目,1517000,湖南中大检测技术集团有限公司,中国移动通信集团湖南有限公司,长沙高新区招投标管理办公室,/,时间：2020-02-13 16:17:27
180,长沙县第一人民医院医技大楼建设项目挡土墙及附属工程,836952,湖南联众建设工程有限公司,长沙县重点建设项目事务中心,长沙县发展和改革局,/,时间：2020-02-13 15:01:49
181,沙河城四期Ⅲ区B地块初步设计及施工图设计,55.61%,深圳市华阳国际工程设计股份有限公司,长沙深业置业有限公司,长沙市建设工程招标投标中心,/,时间：2020-01-19 09:57:22
182,沙河城四期Ⅰ区外墙涂料采购项目,8707894.59,广东德普威涂料有限公司,长沙深业置业有限公司,长沙市建设工程招标投标中心,/,时间：2020-01-19 09:18:22
183,柏家洲生态洲岛项目建设设计施工总承包（EPC）,7215253.3011我112121312312312311111118792981.318792981.311231231212341231231231231231231233455667678法国恢复规划 1水电费水电费1231231238792981.318792981.31772413165432031,湖南宏昇建设有限公司,长沙市岳麓区洋湖街道办事处,长沙市天心区建设工程招投标办公室,/,时间：2020-01-17 15:04:45
184,中南大学轨道交通安全国际合作联合实验室安全与环境改造项目,18526556.36,湖南省西湖建筑集团有限公司,中南大学,长沙市天心区住房和城乡建设局,/,时间：2020-01-17 14:48:22
185,长沙市望城区美琪中学建设项目施工二标段,47096459.17,湖南省沙坪建设有限公司,长沙市望城区城市建设投资集团有限公司,长沙市望城区建设工程招投标工作事务中心,/,时间：2020-01-17 12:08:22
186,望城区长润路（月亮岛路-银星路）、桑梓路西段(长润路-谷山路)建设项目,27742001.1,湖南乔口建设有限公司,长沙市望城区城市建设投资集团有限公司,长沙市望城区建设工程招投标工作事务中心,/,时间：2020-01-17 11:56:22
187,雪松路（碧桃路-三环线隧道）道路景观工程,54595377.69,湖南省绿林市政景观工程有限公司,梅溪湖投资（长沙）有限公司,湘江新区管理委员会住建环保局,/,时间：2020-01-17 11:55:24
188,长沙市望城区美琪中学建设项目施工一标段,60935640.25,湖南省第三工程有限公司,长沙市望城区城市建设投资集团有限公司,长沙市望城区建设工程招投标工作事务中心,/,时间：2020-01-17 11:48:22
189,百宜河综合整治项目主干管网建设工程,30530207.94,湖南乔口建设有限公司,浏阳市城市建设集团有限公司,浏阳市发展和改革局,/,时间：2020-01-16 16:22:22
190,马栏山公园项目施工第二标段,119794700.5,湖南柏加建筑园林（集团）有限公司,长沙市水利建设投资管理有限公司,长沙市建设工程招标投标中心,/,时间：2020-01-16 14:53:22
191,三兴街77号、黄兴南路16、18号“以补促改”项目设计施工总承包,5489429.33,长沙辉煌建筑装饰工程有限公司/长沙凤凰建筑设计有限公司,长沙恒隆资产经营有限公司,/,/,时间：2020-01-16 13:48:22
192,宁乡市夏铎铺镇卫生院公卫综合楼建设项目,3684518.64,长沙金典建设工程有限公司,宁乡市夏铎铺镇人民政府,宁乡市建设工程招投标事务中心,/,时间：2020-01-16 12:11:28
193,浏阳市净溪河截污干管建设项目,34885644.57,湖南乔口建设有限公司,浏阳市城市建设集团有限公司,浏阳市发展和改革局,/,时间：2020-01-16 11:13:22
194,梦想新天地电梯设备采购及安装工程项目（第二次）,7098000,湖南奥瑞特机电设备有限公司,长沙梅溪湖金晟置业有限公司,湖南湘江新区管理委员会住建环保局,/,时间：2020-01-16 11:12:22
195,G319提质改造（永裕北路-经九路段）主线道路工程施工,39540887.41,湖南省沙坪建设有限公司,浏阳经开区投资发展有限公司,浏阳经济技术开发区管委会财政局招标采购中心,/,时间：2020-01-16 11:06:30
196,长沙市口腔医院星沙门诊部装修改造工程,2879785.18,湖南湘信建设工程有限公司,长沙市口腔医院,长沙市建设工程招投标管理办公室,/,时间：2020-01-16 11:03:22
197,湘雅路过江通道河西段盾构及附属基建用电工程施工,17108510.74,湖南华信安装工程有限公司,长沙市城投基础设施建设项目管理有限公司,长沙市建设工程招投标中心,/,时间：2020-01-16 10:59:22
198,长沙市金陵墓园南一区墓道挡墙和九龙园北侧边坡处险工程中标候选人变更公示,9700456.91,长沙洞井建筑股份有限公司,长沙市殡葬事业管理处,长沙市建设工程招标投标中心,/,时间：2020-01-15 14:58:23
199,浏阳市社会福利中心（荷花区域性中心敬老院）主体工程建设项目,25751323.15,湖南长大建设集团股份有限公司,浏阳市公共工程建设中心,浏阳市发展和改革局,/,时间：2020-01-15 14:58:22
200,金思路（吴家冲路-控规绿带）道路工程施工,4141438,长沙富然工程建设有限公司,长沙市望城区基础设施建设投资管理中心,长沙市望城区建设工程招投标工作事务中心,/,时间：2020-01-15 14:47:22
201,桐梓坡S片L-3（岳麓大道～L-2）道路提质改造工程,7913001.85,湖南教建集团有限公司,岳麓区公共工程建设中心,长沙市岳麓区建设工程招投标管理办公室,/,时间：2020-01-13 16:28:22
202,左家塘街道中国电信曹家坡家属区社会化管理移交提质改造项目,5055404.39,湖南天禹建设有限公司,长沙市雨花区左家塘街道办事处,长沙市雨花区住房和城乡建设局,/,时间：2020-01-13 16:25:22
203,宁乡市春城北路改造（新康路-学府路）项目一期（新康路-二环路）,6182314.29,湖南擎天建设工程有限公司,宁乡市城市建设投资集团有限公司,/,/,时间：2020-01-13 16:22:37
204,芙蓉大道快速化改造项目长沙段（非涉铁段）一期工程第三方监测项目（第二次）,2695612.5,中国有色金属长沙勘察设计研究院有限公司, 长沙市公共工程建设中心,长沙市建设工程招标投标中心,/,时间：2020-01-13 16:20:22
205,宁乡市社会福利中心建设项目设计采购施工（EPC）总承包,设计费,长沙玉潭建筑安装有限公司（联合体牵头人）、湖南中规设计院有限公司（联合体成员）,宁乡市城市建设投资集团有限公司,/,/,时间：2020-01-13 16:14:22
206,中国南方航空股份有限公司湖南分公司空勤训练用房建设施工,5667833.7,长沙靖港建筑工程有限公司,中国南方航空股份有限公司湖南分公司,长沙县发展和改革局,/,时间：2020-01-13 12:14:22
207,长沙市望城区大众垸新康-靖港-乔口片水系连通工程（新康片区）施工,95757171.34,湖南百舸水利建设股份有限公司,长沙市望城区水利建设投资管理有限公司,望城区建设工程招投标工作事务中心,/,时间：2020-01-13 11:48:22
208,银盆岭街道社区卫生服务中心项目设计施工总承包,11975561.14,湖南省城市建筑集团有限公司（联合体牵头人）北京世纪千府国际工程设计有限公司,长沙市岳麓区银盆岭街道办事处,长沙市岳麓区建设工程招投标管理办公室,/,时间：2020-01-09 14:06:20
209,玉荷路（学士路-长潭西辅道）道路工程建设项目施工,25885722.56,湖南中柱建设有限公司,长沙含浦科教产业园开发建设有限公司,长沙市岳麓区建设工程招投标管理办公室,/,时间：2020-01-08 13:53:19
210,浏阳市葛家镇马家湾片棚改配套基础设施（三期）建设项目,2881216.19,湖南乐友建设园林有限公司,浏阳市葛家镇人民政府,浏阳市发展和改革局,/,时间：2020-01-08 12:08:18
211,柏加镇公租房配套基础设施（三期）建设项目,2561479.43,湖南同欣园林建设有限公司,浏阳市柏加镇人民政府,浏阳市发展和改革局,/,时间：2020-01-07 14:22:18
212,湖南省地质中学教学楼危房改建项目代建,2002080,友谊国际工程咨询有限公司,湖南省地质中学,长沙市政府投资公益性项目代建制指导协调办公室,/,时间：2020-01-07 10:27:18
213,樱花路（红枫路-梅溪湖路西延线）道路景观工程,31402526.82,湖南柏加建筑园林（集团）有限公司,梅溪湖投资（长沙）有限公司,湘江新区管理委员会住建环保局,/,时间：2020-01-07 10:22:18
214,湖韵佳苑4栋1-2层装修设计施工总承包项目,7930100.98,湖南省西湖建筑集团有限公司（联合体牵头人）,长沙市岳麓区西湖街道办事处,长沙市岳麓区建设工程招投标管理办公室,/,时间：2020-01-07 09:37:18
215,民航湖南空管分局空管小区总图改造工程,8037054.18,湖南黄花建设集团股份有限公司,中国民用航空中南地区空中交通管理局湖南分局,长沙县发展和改革局,/,时间：2019-12-20 10:52:33
216,大王山片区交通提质及停车设施配套项目-绕城高速入口优化工程10kv电力埋管工程,10758899.74,湖南安喆电力建设有限公司,湖南湘江新区投资集团有限公司,湖南湘江新区管理委员会住建环保局,/,时间：2019-12-19 15:13:34
217,芒果马栏山广场（一期）基坑及土石方工程,72216702.59,中国建筑第五工程局有限公司,湖南马栏山芒果实业有限公司,长沙市建设工程招标投标中心,/,时间：2019-12-19 15:12:33
218,望城区养老中心项目（一期）施工,109730815.2,湖南东方红建设集团有限公司,长沙市望城区重点建设项目事务中心,长沙市望城区建设工程招投标工作事务中心,/,时间：2019-12-19 15:11:33
219,长沙经开区城南（榔梨）污水处理厂扩容项目污泥深度脱水间工程施工,6286875.64,长沙玉潭建筑安装有限公司,长沙经济技术开发区项目开发建设管理有限公司,长沙经济技术开发区政府采购与招投标办公室,/,时间：2019-12-19 15:10:33
220,长沙县高桥镇敬老院建设项目,22390818.03,湖南志鹏建设集团有限公司,长沙县高桥镇人民政府,长沙县发展和改革局,/,时间：2019-12-19 15:09:36
221,科创中心维修提质改造项目,10631379.32,湖南沙坪装饰有限公司,浏阳鼎盛投资有限公司,浏阳高新技术产业开发区管理委员会招标采购监督管理办公室,/,时间：2019-12-18 15:41:34
222,浏阳市官桥镇棚户区改造配套基础设施项目,2852050.27,长沙恒翔建设工程有限公司,/,浏阳市发展和改革局,/,时间：2019-12-18 15:16:33
223,星月路（吴家冲路-潇湘大道景观道）交通安全设施工程,4253262,湖南金环智能交通技术有限公司,长沙市望城区城市建设投资集团有限公司,长沙市望城区建设工程招投标工作事务中心,/,时间：2019-12-17 15:46:33
224,星月路（吴家冲路-潇湘大道景观道）电力埋管及亮化工程施工,8726699.97,兴能电力建设有限公司,长沙市望城区城市建设投资集团有限公司,长沙市望城区建设工程招投标工作事务中心,/,时间：2019-12-17 15:37:33
225,宁乡市站前路石坝湾涵洞工程,3693758.85,湖南华程建设工程有限公司,宁乡市城市建设投资集团有限公司,/,/,时间：2019-12-17 14:27:33
226,岳麓大道辅道和麓天路新增污水管项目施工,11935101.48,湖南东方红建设集团有限公司,长沙麓谷建设发展有限公司,长沙高新区招投标管理办公室,/,时间：2019-12-17 14:26:30
227,雨花区跳马镇航空职业学院前人行过街设施建设项目,4609080.41,宏林建设工程集团有限公司,长沙市雨花区市政设施维护中心,长沙市雨花区住房与城乡建设局,/,时间：2019-12-17 14:22:33
228,中国铁建?金色蓝庭项目1#、2#、4#栋精装修及附属工程施工,38997223.35,中铁二十五局集团第三工程有限公司,湖南铁龙置业有限公司,长沙市建设工程招标投标中心,/,时间：2019-12-17 14:22:02
229,长房?星昇公馆建设项目设计采购施工总承包(EPC) 工程,1231507218,牵：长沙市富湘建筑工程有限公司,长沙长房星昇置业有限公司,长沙县发展和改革局,/,时间：2019-12-17 14:20:33
230,浏阳市沿溪镇卫生院公租房配套设施二期建设项目,3915923.17,湖南强盛园林建设工程有限公司,浏阳市沿溪镇人民政府,浏阳市发展和改革局,/,时间：2019-12-16 10:47:33
231,梦想新天地项目3#、4#栋及地下室建安工程施工项目中标候选人更正公示,/,本项目已发布的梦想新天地项目3#、4#栋及地下室建安工程施工项目中标候选人公示内容“ 中标候选人项目部关键岗位人员信息公示”中“第三中标候选人：湖南省沙坪建设有限公司”更正为“第三中标候选人：湖南省天宇建设工程有限公司”。,/,/,/,时间：2019-12-16 10:46:33
232,蓝山路（莲坪大道-潇湘大道东线）交安亮化工程,6370004.3,湖南省辰波建设有限公司,湖南湘江新区投资集团有限公司,湖南湘江新区管理委员会住建环保局,/,时间：2019-12-16 10:46:33
233,龙泉美墅住宅小区二期（洋房19-22号栋）建设工程,39622711.73,湖南兴旺建设有限公司,宁乡市房地产开发经营有限公司,宁乡市建设工程招标投标事务中心,/,时间：2019-12-16 10:44:36
234,雷锋水质净化厂厂内进水提升泵站项目,18059672.78,湖南望新建设集团股份有限公司,湖南湘新水务投资有限公司,湖南湘江新区管理委员会住建环保局,/,时间：2019-12-16 10:43:37
235,文创路（三一大道-东二环桥辅道）10KV电力埋管工程项目中标候选人更正公示,39633432000,湖南湘信建设工程有限公司,长沙市水利建设投资管理有限公司, 长沙市建设工程招标投标中心,/,时间：2019-12-16 10:41:33
236,浏阳市官渡镇居陵片区棚改（二期）配套建设项目,2497370.04,湖南中集建设工程有限公司,浏阳市官渡镇人民政府,浏阳市发展和改革局,/,时间：2019-12-11 15:03:14
237,集里路（西湖山防火林道入口-集里桥）临时道路工程,17056682.11,湖南业达建设有限公司,浏阳市城市建设集团有限公司,浏阳市发展和改革局,/,时间：2019-12-11 15:03:09
238,浏阳市官渡镇居陵片区棚改（三期）配套建设项目,2073271.89,湖南弘湖建设工程有限公司,浏阳市官渡镇人民政府,浏阳市发展和改革局,/,时间：2019-12-11 15:02:09
239,长沙市望城区银杉路道路工程（一期）（普瑞大道-星月路）,8853376.36,湖南嘉原景观建设有限公司,长沙市望城区城市建设投资集团有限公司,长沙市望城区建设工程招投标工作事务中心,/,时间：2019-12-11 14:02:10
240,长沙国际会议中心步行廊桥（会议中心-磨盘洲）建设工程,28096085.24,湖南望新建设集团股份有限公司,长沙城投国际会展中心投资开发有限责任公司,长沙市建设工程招投标中心,/,时间：2019-12-11 14:02:09
241,长沙县中医院二甲创建配套项目场地平整土石方工程,1373154.11,湖南御艺园林建设工程有限公司,长沙县重点建设项目事务中心,长沙县发展和改革局,/,时间：2019-12-11 10:17:09
242,宁乡市龙溪公租房项目挡土墙工程设计施工总承包,8844389.59,湖南岳宁建设工程有限公司（联合体牵头人）/核工业长沙工程勘察院（联合体成员）,宁乡市国资投资控股集团有限公司,宁乡市建设工程招投标事务中心,/,时间：2019-12-10 16:37:09
243,梅杉道（中青路-桔林路）建设工程施工,14110043.21,湖南奉天建设集团有限公司,湖南金霞发展集团有限公司,长沙市开福区招投标管理办公室,/,时间：2019-12-10 15:07:09
244,金桥加油站（A-27）项目工程施工,5682777.4,承运建工集团有限公司,长沙先导城市资源投资有限公司,长沙高新技术产业开发区建设工程招标投标管理办公室,/,时间：2019-12-10 14:14:09
245,中钢天源长沙新材料产研基地设计施工总承包,55585879.55,湖南高新建设有限公司/长沙凤凰建筑设计有限公司,湖南特种金属材料有限责任公司,长沙高新区招标投标管理办公室,/,时间：2019-12-10 10:57:09
246,长沙市花桥污水处理厂改扩建工程（三期）配套尾水管涵工程,12086411.74,湖南源源生态工程集团有限公司,长沙市排水有限责任公司,长沙市建设工程招投标管理中心,/,时间：2019-12-10 09:10:11
247,长沙市轨道交通1号线侯家塘站2号出入口施工总承包项目,9002062.08,湖南雷锋建设有限公司,长沙市轨道交通一号线建设发展有限公司,长沙市建设工程招投标中心,/,时间：2019-12-09 16:44:10
248,森林防火综合治理及国家地方联合工程研究中心（工程实验室）项目,14878352.22,湖南望新建设集团股份有限公司, 湖南省林业科学院,长沙市建设工程招投标中心,/,时间：2019-12-09 16:42:09
249,雨花区东山街道黎托社区少教所安置小区提质改造工程,4598859.73,湖南雄新建筑,长沙市雨花区东山街道黎托经济合作社,长沙市雨花区住房和城乡建设局,/,时间：2019-12-09 16:32:09
250,万家丽路快速化改造北延线（含电力隧道）工程设计施工总承包项目,1937594402,中铁五局集团有限公司，中交公路规划设计院有限公司,长沙县重点建设项目事务中心,长沙县发展和改革局,/,时间：2019-12-09 15:47:40
251,长沙经开区星沙水厂9万吨每天改扩建工程施工（第二次复评）,189625395.9,五矿二十三冶建设集团有限公司,长沙经济技术开发区项目开发建设管理有限公司,长沙经济技术开发区政府采购与招投标办公室,/,时间：2019-12-09 15:47:29
252,宁乡市公安局花明楼派出所业务用房建设项目,9068175.65,湖南干杉建筑工程有限公司,宁乡市城市建设投资集团有限公司,/,/,时间：2019-12-09 15:39:00
253,铜官特勤消防站项目,23028372,湖南省长沙湘华建筑工程有限公司,长沙市望城区重点建设项目事务中心,长沙市望城区建设工程招投标工作事务中心,/,时间：2019-12-09 15:38:11
254,马桥河（望府路至马桥河排口）排水管道改造工程,4781048.93,浩天建工集团有限公司,长沙市望城区市政设施维护中心,长沙市望城区建设工程招投标工作事务中心,/,时间：2019-12-09 15:37:39
255,旺旺中路片区新增排水管道工程施工,39901789.91,湖南星大建设集团有限公司,长沙市望城区市政设施维护中心,长沙市望城区建设工程招投标工作事务中心,/,时间：2019-12-09 15:37:36
256,湖南湘江智能科技创新中心有限公司智能系统检测实验室项目建安工程施工,36819219.67,湖南兴旺建设有限公司,湖南湘江智能科技创新中心有限公司,湖南湘江新区管理委员会住建环保局,/,时间：2019-12-09 15:37:09
257,洋湖生态新城中水回用示范项目信息化运营管理系统采购项目,5232000,长沙先导智慧城市投资有限公司,湖南先导洋湖再生水有限公司,湖南湘江新区管理委员会住建环保局,/,时间：2019-12-09 15:33:13
258,旺旺中路片区新增排水管道工程3PE防腐螺旋钢管采购项目,17636094.47,长沙天卓塑胶有限公司,长沙市望城区市政设施维护中心,长沙市望城区建设工程招投标工作事务中心,/,时间：2019-12-09 15:32:49
